timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1687566543561,1,Get Catalog,200,,GetCatalog 1-23,text,true,,1386,132,2,2,http://localhost:8081/sandwich/catalog,1,0,0
1687566543562,2,Get Catalog,200,,GetCatalog 1-24,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,2,0,0
1687566543564,1,Get Catalog,200,,GetCatalog 1-24,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566543576,2,Get Catalog,200,,GetCatalog 1-25,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,2,0,1
1687566543578,2,Get Catalog,200,,GetCatalog 1-25,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,2,0,0
1687566543580,1,Get Catalog,200,,GetCatalog 1-25,text,true,,1386,132,2,2,http://localhost:8081/sandwich/catalog,1,0,0
1687566543580,2,Get Catalog,200,,GetCatalog 1-26,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,2,0,1
1687566543582,2,Get Catalog,200,,GetCatalog 1-26,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,2,0,0
1687566543584,1,Get Catalog,200,,GetCatalog 1-26,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566543596,2,Get Catalog,200,,GetCatalog 1-27,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,2,0,0
1687566543598,1,Get Catalog,200,,GetCatalog 1-27,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566543599,2,Get Catalog,200,,GetCatalog 1-27,text,true,,1386,132,2,2,http://localhost:8081/sandwich/catalog,2,0,0
1687566543600,2,Get Catalog,200,,GetCatalog 1-28,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,2,0,1
1687566543602,2,Get Catalog,200,,GetCatalog 1-28,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,2,0,0
1687566543604,2,Get Catalog,200,,GetCatalog 1-28,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,2,0,0
1687566543616,3,Get Catalog,200,,GetCatalog 1-29,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,3,0,1
1687566543619,1,Get Catalog,200,,GetCatalog 1-29,text,true,,1386,132,2,2,http://localhost:8081/sandwich/catalog,1,0,0
1687566543620,1,Get Catalog,200,,GetCatalog 1-29,text,true,,1386,132,2,2,http://localhost:8081/sandwich/catalog,1,0,0
1687566543620,2,Get Catalog,200,,GetCatalog 1-30,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,2,0,1
1687566543622,2,Get Catalog,200,,GetCatalog 1-30,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566543624,1,Get Catalog,200,,GetCatalog 1-30,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566543637,2,Get Catalog,200,,GetCatalog 1-31,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,2,0,0
1687566543639,1,Get Catalog,200,,GetCatalog 1-31,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566543640,1,Get Catalog,200,,GetCatalog 1-31,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566543641,2,Get Catalog,200,,GetCatalog 1-32,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,2,0,1
1687566543643,1,Get Catalog,200,,GetCatalog 1-32,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566543644,1,Get Catalog,200,,GetCatalog 1-32,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566543657,3,Get Catalog,200,,GetCatalog 1-33,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,2,0,1
1687566543660,1,Get Catalog,200,,GetCatalog 1-33,text,true,,1386,132,2,2,http://localhost:8081/sandwich/catalog,1,0,0
1687566543660,3,Get Catalog,200,,GetCatalog 1-34,text,true,,1386,132,2,2,http://localhost:8081/sandwich/catalog,3,0,1
1687566543661,2,Get Catalog,200,,GetCatalog 1-33,text,true,,1386,132,2,2,http://localhost:8081/sandwich/catalog,2,0,0
1687566543663,1,Get Catalog,200,,GetCatalog 1-34,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566543664,1,Get Catalog,200,,GetCatalog 1-34,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566543678,1,Get Catalog,200,,GetCatalog 1-35,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566543679,1,Get Catalog,200,,GetCatalog 1-35,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566543680,1,Get Catalog,200,,GetCatalog 1-35,text,true,,1386,132,2,2,http://localhost:8081/sandwich/catalog,1,0,0
1687566543681,1,Get Catalog,200,,GetCatalog 1-36,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566543682,1,Get Catalog,200,,GetCatalog 1-36,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
